event_time,cumulative_possession_away,cumulative_possession_home,avg_pass_length_home,avg_pass_duration_home,cumulative_num_passes_home,avg_pass_length_away,avg_pass_duration_away,cumulative_num_passes_away,cumulative_shots_attempted_home,cumulative_shots_attempted_away,location_x_home,location_y_home,location_x_away,location_y_away,time_to_home_goal,time_to_away_goal
1331,735.6951471090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,18.96683455598086,1.5108410095693792,209.0,0.0,3.0,92.2,73.5,10.0,33.8,,
1332,735.6951471090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,18.96683455598086,1.5108410095693792,209.0,0.0,3.0,92.2,73.5,10.0,33.8,,
1333,735.6951471090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,18.96683455598086,1.5108410095693792,209.0,0.0,3.0,92.2,73.5,10.0,33.8,,
1334,735.6951471090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,18.96683455598086,1.5108410095693792,209.0,0.0,3.0,92.2,73.5,10.0,33.8,,
1335,735.6951471090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,18.96683455598086,1.5108410095693792,209.0,0.0,3.0,92.2,73.5,10.0,33.8,,
1336,735.6951471090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,18.96683455598086,1.5108410095693792,209.0,0.0,3.0,92.2,73.5,10.0,33.8,,
1337,735.6951471090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,18.96683455598086,1.5108410095693792,209.0,0.0,3.0,92.2,73.5,10.0,33.8,,
1338,735.6951471090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,18.96683455598086,1.5108410095693792,209.0,0.0,3.0,92.2,73.5,10.0,33.8,,
1339,735.6951471090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,18.96683455598086,1.5108410095693792,209.0,0.0,3.0,92.2,73.5,10.0,33.8,,
1340,735.6951471090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,18.96683455598086,1.5108410095693792,209.0,0.0,3.0,92.2,73.5,10.0,33.8,,
1341,735.6951471090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,18.96683455598086,1.5108410095693792,209.0,0.0,3.0,92.2,73.5,10.0,33.8,,
1342,739.1728111090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.188115553333333,1.5202068333333345,210.0,0.0,3.0,92.2,73.5,26.2,35.6,,
1343,739.1728111090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.188115553333333,1.5202068333333345,210.0,0.0,3.0,92.2,73.5,26.2,35.6,,
1344,739.1728111090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.188115553333333,1.5202068333333345,210.0,0.0,3.0,92.2,73.5,26.2,35.6,,
1345,739.1728111090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.188115553333333,1.5202068333333345,210.0,0.0,3.0,92.2,73.5,31.5,24.8,,
1346,739.1728111090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.188115553333333,1.5202068333333345,210.0,0.0,3.0,92.2,73.5,31.5,24.8,,
1347,739.1728111090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.188115553333333,1.5202068333333345,210.0,0.0,3.0,92.2,73.5,31.5,24.8,,
1348,739.1728111090003,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.188115553333333,1.5202068333333345,210.0,0.0,3.0,92.2,73.5,31.5,24.8,,
1349,743.2741081090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.188115553333333,1.5202068333333345,210.0,0.0,3.0,92.2,73.5,7.5,25.4,,
1350,743.2741081090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.188115553333333,1.5202068333333345,210.0,0.0,3.0,92.2,73.5,7.5,25.4,,
1351,743.2741081090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.188115553333333,1.5202068333333345,210.0,0.0,3.0,92.2,73.5,7.5,25.4,,
1352,743.2741081090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.188115553333333,1.5202068333333345,210.0,0.0,3.0,92.2,73.5,7.5,25.4,,
1353,746.2646371090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.184951636018955,1.5271751848341244,211.0,0.0,3.0,92.2,73.5,14.4,43.2,,
1354,746.2646371090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.184951636018955,1.5271751848341244,211.0,0.0,3.0,92.2,73.5,14.4,43.2,,
1355,746.2646371090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.184951636018955,1.5271751848341244,211.0,0.0,3.0,92.2,73.5,14.4,43.2,,
1356,747.7063211090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.191159293396225,1.5267719245283031,212.0,0.0,3.0,92.2,73.5,24.4,57.9,,
1357,747.7063211090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.191159293396225,1.5267719245283031,212.0,0.0,3.0,92.2,73.5,24.4,57.9,,
1358,751.2685421090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.191159293396225,1.5267719245283031,212.0,0.0,3.0,92.2,73.5,35.4,75.2,,
1359,751.2685421090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.191159293396225,1.5267719245283031,212.0,0.0,3.0,92.2,73.5,35.4,75.2,,
1360,751.2685421090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.191159293396225,1.5267719245283031,212.0,0.0,3.0,92.2,73.5,35.4,75.2,,
1361,752.7238221090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.148887404694833,1.526436281690142,213.0,0.0,3.0,92.2,73.5,39.2,76.8,,
1362,752.7238221090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.148887404694833,1.526436281690142,213.0,0.0,3.0,92.2,73.5,39.2,76.8,,
1363,757.4500611090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.148887404694833,1.526436281690142,213.0,0.0,3.0,92.2,73.5,33.9,68.1,,
1364,757.4500611090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.148887404694833,1.526436281690142,213.0,0.0,3.0,92.2,73.5,33.9,68.1,,
1365,757.4500611090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.148887404694833,1.526436281690142,213.0,0.0,3.0,92.2,73.5,33.9,68.1,,
1366,757.4500611090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.148887404694833,1.526436281690142,213.0,0.0,3.0,92.2,73.5,33.9,68.1,,
1367,757.4500611090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.148887404694833,1.526436281690142,213.0,0.0,3.0,92.2,73.5,33.9,68.1,,
1368,760.1023011090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.227569902803737,1.5316970467289732,214.0,0.0,3.0,92.2,73.5,39.5,64.0,,
1369,760.1023011090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.227569902803737,1.5316970467289732,214.0,0.0,3.0,92.2,73.5,39.5,64.0,,
1370,764.0196691090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.227569902803737,1.5316970467289732,214.0,0.0,3.0,92.2,73.5,37.0,28.1,,
1371,764.0196691090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.227569902803737,1.5316970467289732,214.0,0.0,3.0,92.2,73.5,37.0,28.1,,
1372,764.0196691090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.227569902803737,1.5316970467289732,214.0,0.0,3.0,92.2,73.5,37.0,28.1,,
1373,764.0196691090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.227569902803737,1.5316970467289732,214.0,0.0,3.0,92.2,73.5,37.0,28.1,,
1374,765.3936431090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.20885078697674,1.5309634511627919,215.0,0.0,3.0,92.2,73.5,49.8,22.9,,
1375,765.3936431090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.20885078697674,1.5309634511627919,215.0,0.0,3.0,92.2,73.5,49.8,22.9,,
1376,766.9314141090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.20885078697674,1.5309634511627919,215.0,0.0,3.0,92.2,73.5,50.1,7.7,,
1377,768.0325181090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.26001599629629,1.5289733611111123,216.0,0.0,3.0,92.2,73.5,50.9,4.3,,
1378,769.0381851090004,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.221338143778798,1.526561811059909,217.0,0.0,3.0,92.2,73.5,80.1,12.6,,
1379,770.6187741090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.221338143778798,1.526561811059909,217.0,0.0,3.0,92.2,73.5,77.3,23.1,,
1380,770.6187741090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.221338143778798,1.526561811059909,217.0,0.0,3.0,92.2,73.5,77.3,23.1,,
1381,773.2393091090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.366434468807334,1.5315800366972492,218.0,0.0,3.0,92.2,73.5,79.5,28.1,,
1382,773.2393091090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.366434468807334,1.5315800366972492,218.0,0.0,3.0,92.2,73.5,79.5,28.1,,
1383,775.6212301090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.366434468807334,1.5315800366972492,218.0,0.0,3.0,92.2,73.5,93.1,77.1,,
1384,775.6212301090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.366434468807334,1.5315800366972492,218.0,0.0,3.0,92.2,73.5,93.1,77.1,,
1385,776.4403261090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.366434468807334,1.5315800366972492,218.0,0.0,3.0,92.2,73.5,21.5,4.4,,
1386,778.8250821090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.366434468807334,1.5315800366972492,218.0,0.0,3.0,92.2,73.5,98.6,72.6,,
1387,778.8250821090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.366434468807334,1.5315800366972492,218.0,0.0,3.0,92.2,73.5,98.6,72.6,,
1388,779.8392611090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.380844407305933,1.5292174748858463,219.0,0.0,3.0,92.2,73.5,110.0,62.1,,
1389,779.8392611090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.380844407305933,1.5292174748858463,219.0,0.0,3.0,92.2,73.5,11.1,40.5,,
1390,779.8392611090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.380844407305933,1.5292174748858463,219.0,0.0,3.0,92.2,73.5,11.1,40.5,,
1391,779.8392611090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.380844407305933,1.5292174748858463,219.0,0.0,3.0,92.2,73.5,11.1,40.5,,
1392,779.8392611090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.380844407305933,1.5292174748858463,219.0,0.0,3.0,92.2,73.5,11.1,40.5,,
1393,780.7553191090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.345892614545452,1.526430386363638,220.0,0.0,3.0,92.2,73.5,86.7,62.9,,
1394,783.3001501090006,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.345892614545452,1.526430386363638,220.0,0.0,3.0,92.2,73.5,28.1,31.3,,
1395,784.5741511090006,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.350264435294118,1.525288171945703,221.0,0.0,3.0,92.2,73.5,85.8,55.6,,
1396,790.8960711090006,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.350264435294118,1.525288171945703,221.0,0.0,3.0,92.2,73.5,86.5,75.9,,
1397,790.8960711090006,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.350264435294118,1.525288171945703,221.0,0.0,3.0,92.2,73.5,86.5,75.9,,
1398,790.8960711090006,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.350264435294118,1.525288171945703,221.0,0.0,3.0,92.2,73.5,86.5,75.9,,
1399,790.8960711090006,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.350264435294118,1.525288171945703,221.0,0.0,3.0,92.2,73.5,86.5,75.9,,
1400,790.8960711090006,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.350264435294118,1.525288171945703,221.0,0.0,3.0,92.2,73.5,86.5,75.9,,
1401,790.8960711090006,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.350264435294118,1.525288171945703,221.0,0.0,3.0,92.2,73.5,86.5,75.9,,
1402,790.8960711090006,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.350264435294118,1.525288171945703,221.0,0.0,3.0,92.2,73.5,86.5,75.9,,
1403,792.3960281090006,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.347638289189188,1.5251740675675691,222.0,0.0,3.0,92.2,73.5,86.7,63.5,,
1404,793.3071981090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.347638289189188,1.5251740675675691,222.0,0.0,3.0,92.2,73.5,68.1,66.0,,
1405,794.7017141090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.395616579372195,1.524588156950674,223.0,0.0,3.0,92.2,73.5,69.5,67.3,,
1406,794.7017141090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.395616579372195,1.524588156950674,223.0,0.0,3.0,92.2,73.5,69.5,67.3,,
1407,796.3643681090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.395616579372195,1.524588156950674,223.0,0.0,3.0,92.2,73.5,97.5,78.2,,
1408,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1409,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1410,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1411,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1412,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1413,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1414,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1415,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1416,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1417,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1418,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1419,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
