minute,second,player,team,team_id,possession,start_x,start_y,end_x,end_y,next_shot_xg,leads_to_shot,dx,dy,length,progressive,final_third,box_entry,cross,through,cutback,pass_type,structural_score,xg_norm,importance_raw,importance_norm,time
6,58,Jack Colback,Newcastle United,37,14,56.5,75.8,74.7,65.8,0.0,0,18.200000000000003,-10.0,20.766318884193225,1,0,0,0,0,0,Progressive,1.4249999999999998,0.0,0.30742385778999387,0.36167512647805306,418
8,0,Tim Howard,Everton,29,16,13.7,39.3,31.9,38.1,0.0,0,18.2,-1.1999999999999957,18.23951753747889,0,0,0,0,0,0,Forward,1.605,0.0,0.3462563450897826,0.40736040561212294,480
8,2,Gareth Barry,Everton,29,16,32.6,38.7,41.7,45.6,0.0,0,9.100000000000001,6.899999999999999,11.420157617125957,0,0,0,0,0,0,Forward,1.8775,0.0,0.4050444161408516,0.47652284207897877,482
8,3,Ross Barkley,Everton,29,16,41.7,45.6,47.6,33.8,0.0,0,5.899999999999999,-11.800000000000004,13.192801067248762,0,0,0,0,0,0,Forward,1.2974999999999999,0.0,0.2799175126193102,0.32931472042475357,483
8,6,Tom Cleverley,Everton,29,16,52.6,29.3,66.2,34.5,0.0,0,13.600000000000001,5.199999999999999,14.560219778561038,0,0,0,0,0,0,Forward,1.4900000000000002,0.0,0.32144670042602874,0.3781725883875784,486
8,8,Kevin Mirallas,Everton,29,16,67.2,39.9,110.0,72.4,0.0,0,42.8,32.50000000000001,53.74095272694745,1,1,0,0,0,0,Switch of Play,2.6399999999999997,0.0,0.5695431470635676,0.6700507606330246,488
8,18,Jack Colback,Newcastle United,37,17,9.8,26.4,3.9,17.5,0.0,0,-5.9,-8.899999999999999,10.67801479676817,0,0,0,0,0,0,Backward,0.17166666666666666,0.0,0.037034686961835525,0.04357021991489997,498
8,19,Paul Dummett,Newcastle United,37,17,3.9,17.5,40.4,12.4,0.0,0,36.5,-5.1,36.85457909134223,1,0,0,0,0,0,Progressive,2.07,0.0,0.44657360394757,0.5253807100418033,499
8,23,Aleksandar Mitrović,Newcastle United,37,17,40.4,12.4,49.7,17.5,0.0,0,9.300000000000004,5.1,10.606601717798217,0,0,0,0,0,0,Forward,1.1025,0.0,0.2378489847112058,0.2798223346961779,503
8,32,José Ramiro Funes Mori,Everton,29,18,70.9,33.1,92.6,78.2,0.0,0,21.69999999999999,45.1,50.04897601350101,1,1,0,0,0,0,Switch of Play,2.5824999999999996,0.0,0.5571383247316906,0.6554568520207522,512
8,34,Aaron Lennon,Everton,29,18,92.6,78.2,92.5,60.2,0.0,0,-0.09999999999999432,-18.0,18.000277775634462,0,1,0,0,0,0,Lateral,0.7183333333333334,0.0,0.1549703891315642,0.1823181046924455,514
